	sym	shp65_Vehicle_1	shp65_Vehicle_2	shp65_Vehicle_3	shp65_TNF_1	shp65_TNF_2	shp65_TNF_3
ENSG00000198799	LRIG2	369	291	414	464	375	289
ENSG00000198804	MT-CO1	20630	4749	24028	41628	11636	18888
ENSG00000198805	PNP	265	235	289	242	264	228
ENSG00000198814	GK	64	50	85	75	86	71
ENSG00000198815	FOXJ3	657	482	824	971	755	616
ENSG00000198816	ZNF358	202	219	197	220	212	155
ENSG00000198818	SFT2D1	280	213	315	326	332	287
ENSG00000198824	CHAMP1	107	44	109	198	86	91
ENSG00000198825	INPP5F	251	209	271	337	311	234
ENSG00000198826	ARHGAP11A	142	149	184	117	237	108
ENSG00000198830	HMGN2	527	398	560	545	505	390
ENSG00000198832	na	735	815	657	754	863	690
ENSG00000198833	UBE2J1	412	334	395	456	442	274
ENSG00000198836	OPA1	2011	1563	2040	2385	2394	1456
ENSG00000198837	DENND4B	69	73	88	317	97	79
ENSG00000198839	ZNF277	277	212	242	256	334	158
ENSG00000198840	MT-ND3	1108	167	1415	1037	598	928
ENSG00000198841	KTI12	62	56	66	62	57	50
ENSG00000198843	na	1067	781	1160	949	1136	865
ENSG00000198848	CES1	170	255	125	298	296	155
ENSG00000198853	RUSC2	372	386	450	670	418	415
ENSG00000198855	FICD	122	125	134	181	163	111
ENSG00000198856	OSTC	1216	689	1383	862	1133	915
ENSG00000198858	R3HDM4	218	212	264	273	265	201
ENSG00000198860	TSEN15	272	203	255	248	247	202
ENSG00000198862	LTN1	815	620	799	1050	1036	594
ENSG00000198863	RUNDC1	78	78	111	189	138	93
ENSG00000198873	GRK5	33	34	42	53	53	38
ENSG00000198874	TYW1	155	159	202	205	184	129
ENSG00000198876	DCAF12	381	255	490	560	371	349
ENSG00000198879	SFMBT2	35	29	14	29	39	32
ENSG00000198886	MT-ND4	3616	774	4560	19239	2143	4527
ENSG00000198887	SMC5	212	173	173	287	304	146
ENSG00000198888	MT-ND1	1277	277	1526	4632	748	1280
ENSG00000198890	PRMT6	99	70	124	131	137	105
ENSG00000198892	SHISA4	148	114	131	129	138	125
ENSG00000198894	CIPC	291	209	332	344	297	213
ENSG00000198898	CAPZA2	2023	1519	1892	1581	2377	1190
ENSG00000198899	MT-ATP6	1161	163	1195	3858	581	1114
ENSG00000198900	TOP1	209	202	225	929	318	249
ENSG00000198901	PRC1	69	120	77	68	90	68
ENSG00000198908	BHLHB9	36	23	32	47	32	24
ENSG00000198909	MAP3K3	519	555	575	607	557	513
ENSG00000198911	SREBF2	1015	898	1309	2080	1149	1150
ENSG00000198912	C1orf174	176	132	189	225	159	139
ENSG00000198917	C9orf114	103	122	105	141	131	79
ENSG00000198918	RPL39	5322	4501	4454	3500	5095	3628
ENSG00000198919	DZIP3	289	179	241	343	376	181
ENSG00000198920	KIAA0753	110	128	120	140	157	80
ENSG00000198924	DCLRE1A	97	70	93	130	106	64
ENSG00000198925	ATG9A	583	465	625	1247	626	588
ENSG00000198931	APRT	1727	1627	1750	1486	1674	1720
ENSG00000198933	TBKBP1	102	113	81	151	115	77
ENSG00000198937	CCDC167	162	89	159	132	137	134
ENSG00000198938	MT-CO3	16963	2817	25784	18584	6657	19139
ENSG00000198945	L3MBTL3	88	61	88	87	96	55
ENSG00000198947	DMD	31	16	27	47	14	30
ENSG00000198948	MFAP3L	201	143	221	268	224	163
ENSG00000198951	NAGA	308	271	270	328	326	257
ENSG00000198952	SMG5	994	1193	1073	1386	1381	879
ENSG00000198954	KIF1BP	365	341	428	384	440	274
ENSG00000198959	TGM2	153	114	170	304	123	132
ENSG00000198960	ARMCX6	79	95	53	65	90	63
ENSG00000198961	PJA2	1149	904	1076	1813	1478	822
ENSG00000198964	SGMS1	207	191	222	238	310	193
ENSG00000199266	SNORA60	49	45	46	33	50	52
ENSG00000199347	RNU5E-1	445	267	401	217	436	391
ENSG00000199436	SNORD9	74	78	69	45	102	56
ENSG00000199568	RNU5A-1	3439	2268	4084	1533	4682	4306
ENSG00000199683	RN7SKP185	24	158	19	14	138	36
ENSG00000199753	SNORD104	37	78	57	40	93	53
ENSG00000199990	VTRNA1-1	416	305	386	204	329	419
ENSG00000200087	SNORA73B	55604	51242	56741	41422	61666	71620
ENSG00000200156	RNU5B-1	6979	1613	6466	2411	4734	6892
ENSG00000200169	RNU5D-1	17	29	32	22	66	45
ENSG00000200243	RN7SKP79	18	50	22	11	25	21
ENSG00000200312	RN7SKP255	429	469	245	154	625	282
ENSG00000200354	SNORA71D	342	447	275	225	589	457
ENSG00000200394	SNORA38B	133	242	145	81	316	175
ENSG00000200488	RN7SKP203	131	139	101	89	169	151
ENSG00000200496	na	17	39	26	16	69	34
ENSG00000200534	SNORA33	113	60	140	80	135	149
ENSG00000200783	RN7SKP180	69	55	42	44	83	62
ENSG00000200785	SNORD8	166	144	167	66	215	153
ENSG00000200792	SNORA80A	292	243	323	194	345	442
ENSG00000200795	RNU4-1	51112	7359	62139	33602	14079	54993
ENSG00000200816	SNORA38	431	355	422	260	713	534
ENSG00000200913	SNORD46	64	105	61	32	120	75
ENSG00000200959	SNORA74A	8810	5061	8334	5585	7561	10053
ENSG00000201098	RNY1	2613	6180	3636	1398	10604	3667
ENSG00000201229	na	70	75	110	48	133	100
ENSG00000201302	SNORA65	283	143	242	121	277	347
ENSG00000201315	RN7SKP227	65	35	34	40	66	56
ENSG00000201428	RN7SKP71	74	44	43	18	55	38
ENSG00000201448	na	138	71	134	65	165	140
ENSG00000201457	SNORA55	96	235	114	67	275	160
ENSG00000201512	SNORA71C	170	166	150	138	193	231
ENSG00000201533	RN7SKP237	301	374	276	169	491	335
ENSG00000201558	RNVU1-6	45	25	35	29	38	50
