id	sym	wt_1	wt_2	wt_3	IFNgR_KO_1	IFNgR_KO_2	IFNgR_KO_3
ENSMUSG00000032563	Mrpl3	1238	984	1084	1218	2019	1512
ENSMUSG00000032564	Cpne4	13	18	204	23	25	16
ENSMUSG00000032565	Nudt16	241	198	182	208	358	241
ENSMUSG00000032567	Aste1	282	212	211	200	377	261
ENSMUSG00000032570	Atp2c1	4373	2949	2411	2961	5917	3495
ENSMUSG00000032571	Pik3r4	648	587	678	577	1086	702
ENSMUSG00000032575	Manf	5149	3377	2988	4454	8899	5446
ENSMUSG00000032577	Mapkapk3	2837	1866	1396	1899	3344	2585
ENSMUSG00000032578	Cish	239	168	113	151	378	364
ENSMUSG00000032579	Hemk1	140	93	105	126	217	181
ENSMUSG00000032580	Rbm5	4694	2837	2822	2814	6095	3658
ENSMUSG00000032582	Rbm6	2049	1308	1248	1146	2526	1475
ENSMUSG00000032583	Mon1a	300	198	204	252	382	336
ENSMUSG00000032584	Mst1r	44	12	4	13	26	13
ENSMUSG00000032586	Traip	99	93	209	127	154	113
ENSMUSG00000032589	Bsn	107	88	197	165	246	145
ENSMUSG00000032590	Apeh	785	757	690	813	1325	989
ENSMUSG00000032593	Amigo3	111	88	59	85	123	141
ENSMUSG00000032594	Ip6k1	2904	1513	2060	2287	4243	2819
ENSMUSG00000032595	Cdhr4	25	31	135	25	25	26
ENSMUSG00000032596	Uba7	1895	1680	748	724	1459	1081
ENSMUSG00000032598	Nckipsd	271	228	227	296	527	365
ENSMUSG00000032599	Ip6k2	263	264	284	209	357	213
ENSMUSG00000032601	Prkar2a	848	842	763	981	1831	1406
ENSMUSG00000032602	Slc25a20	1129	846	605	767	1429	903
ENSMUSG00000032604	Qars	2270	2172	2232	2494	3751	3120
ENSMUSG00000032606	Nicn1	99	90	192	111	215	125
ENSMUSG00000032607	Amt	9	3	10	4	11	5
ENSMUSG00000032609	Klhdc8b	16	5	54	10	14	10
ENSMUSG00000032611	1700102P08Rik	14	10	3	14	16	2
ENSMUSG00000032612	Usp4	3305	2913	2438	2850	5147	3470
ENSMUSG00000032615	Nt5m	293	244	281	319	529	371
