id	sym	MCF7_ctl_1	MCF7_ctl_2	MCF7_ctl_3	MCF7_WNT5A_1	MCF7_WNT5A_2	MCF7_WNT5A_3
ENSG00000139971	C14orf37	17	22	15	7	15	9
ENSG00000139973	SYT16	22	20	8	8	14	13
ENSG00000139974	SLC38A6	836	972	728	588	966	824
ENSG00000139977	NAA30	2666	2716	2744	2152	2787	2816
ENSG00000139985	ADAM21	2	2	1	1	3	2
ENSG00000139988	RDH12	1	1	1	3	5	2
ENSG00000139990	DCAF5	3691	4109	3501	2620	3841	3764
ENSG00000139998	RAB15	5437	5639	5098	3834	6109	5171
ENSG00000140006	WDR89	1078	1067	998	869	1274	1009
ENSG00000140009	ESR2	69	89	68	32	76	74
ENSG00000140015	KCNH5	0	5	1	3	1	4
ENSG00000140022	STON2	232	238	320	149	263	219
ENSG00000140025	EFCAB11	777	888	723	528	842	742
ENSG00000140030	GPR65	2	5	2	2	2	5
ENSG00000140043	PTGR2	847	874	642	619	902	831
ENSG00000140044	JDP2	269	163	285	195	225	245
ENSG00000140057	AK7	1457	1538	1386	1033	1546	1430
ENSG00000140067	FAM181A	1	0	1	0	0	1
ENSG00000140090	SLC24A4	36	38	27	29	38	44
ENSG00000140092	FBLN5	4	6	0	3	1	2
ENSG00000140093	SERPINA10	20	19	29	14	23	19
ENSG00000140104	C14orf79	887	931	786	674	882	861
ENSG00000140105	WARS	5846	5012	5306	4364	5583	5157
ENSG00000140107	SLC25A47	1	1	1	4	1	2
ENSG00000140153	WDR20	2066	2224	1955	1443	2199	2093
ENSG00000140157	NIPA2	2631	2572	2581	2034	2807	2686
ENSG00000140181	na	960	1117	829	724	1033	943
ENSG00000140199	SLC12A6	793	817	747	581	681	797
ENSG00000140254	DUOXA1	2	3	3	2	0	5
ENSG00000140259	MFAP1	1680	1711	1588	1145	1844	1691
ENSG00000140262	TCF12	1560	1806	1474	1064	1708	1464
ENSG00000140263	SORD	714	611	650	502	600	696
ENSG00000140264	SERF2	6952	7205	6249	4519	7569	6783
ENSG00000140265	ZSCAN29	1634	1598	1476	1100	1594	1417
ENSG00000140279	DUOX2	3	3	2	2	3	2
ENSG00000140280	LYSMD2	212	178	243	209	176	186
ENSG00000140284	SLC27A2	723	519	515	560	597	501
ENSG00000140285	FGF7	55	50	40	46	70	46
ENSG00000140287	HDC	2	2	1	1	0	0
ENSG00000140297	GCNT3	27	21	19	18	29	22
ENSG00000140299	BNIP2	2079	2196	1857	1516	2095	1994
ENSG00000140307	GTF2A2	1317	1357	1399	1084	1552	1455
ENSG00000140319	SRP14	8834	9088	8050	6241	10040	8445
ENSG00000140320	BAHD1	2022	2162	1798	1317	2046	1930
ENSG00000140323	DISP2	76	96	74	54	82	66
ENSG00000140326	CDAN1	759	988	743	519	777	764
ENSG00000140332	TLE3	1936	2921	2129	1311	2472	2391
ENSG00000140350	ANP32A	8018	6950	7539	6079	8029	8186
ENSG00000140365	COMMD4	2940	3403	3197	1986	3413	3354
ENSG00000140367	UBE2Q2	2142	1791	2100	1692	1980	2121
ENSG00000140368	PSTPIP1	4	4	6	1	4	3
ENSG00000140374	ETFA	12151	11408	11930	9390	13174	11967
ENSG00000140379	BCL2A1	1	1	0	1	1	0
ENSG00000140382	HMG20A	1623	1811	1507	1079	1716	1595
ENSG00000140386	SCAPER	782	1107	792	495	1099	847
ENSG00000140391	TSPAN3	2547	2702	2769	1700	2894	2479
ENSG00000140395	WDR61	5150	5473	5000	3629	6113	5021
ENSG00000140396	NCOA2	5108	6142	4646	3555	5616	5092
ENSG00000140398	NEIL1	352	334	293	255	240	359
ENSG00000140400	MAN2C1	3744	4452	3327	2436	3763	4301
ENSG00000140403	DNAJA4	2942	3119	2617	2181	3555	2654
ENSG00000140406	MESDC1	1784	2005	2146	1851	1953	2139
ENSG00000140416	TPM1	9959	8286	11856	7050	10258	10372
ENSG00000140443	IGF1R	28434	28323	21457	20392	27015	23113
ENSG00000140450	ARRDC4	735	1032	655	570	1062	621
ENSG00000140451	PIF1	698	1808	1287	491	1550	1495
ENSG00000140455	USP3	1996	1802	1764	1618	1853	1838
ENSG00000140459	CYP11A1	3	2	4	1	0	1
ENSG00000140463	BBS4	1341	1414	1271	964	1424	1405
